strategy,total_cost,cost_per_tonne,total_demurrage,avg_demurrage_per_voyage,avg_schedule_delay_days,max_schedule_delay_days,delivery_success_rate,expected_cost,downside_cost,volatility_exposure,avoided_cost,missed_opportunity_cost,booking_success_rate
CharterAI Decision Engine,67376438.3,19.36,261000.0,7250.0,0.0,0.0,100.0,1871567.73,2736860.8,3.074,2592828.0,3230689.0,100.0
Baseline 1: Current Freight Rate,69581172.85,19.99,252160.0,7004.44,0.0,0.0,100.0,1932810.36,2870864.8,2.988,0.0,5131050.0,100.0
Baseline 2: Moving Average,69312536.15,19.92,244680.0,6796.67,0.0,0.0,100.0,1925348.23,2868313.87,3.017,188250.0,4926250.0,80.6
Baseline 3: Always Largest Vessel,72232870.05,20.76,391626.67,10878.52,0.0,0.0,100.0,2006468.61,2870864.8,3.042,1293200.0,3835700.0,88.9
Baseline 4: Always Spot,69581172.85,19.99,252160.0,7004.44,0.0,0.0,100.0,1932810.36,2870864.8,2.988,0.0,5131050.0,100.0
Baseline 5: Fixed Vessel Rule (Panamax),77468569.35,22.26,619500.0,17208.33,0.0,0.0,100.0,2151904.7,3553618.91,3.179,-4201600.0,9319850.0,75.0
